time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6
0.950000,0.147680,-1.510177,1.761668,-1.547410,1.570208,0.000000,0.215709,-0.370332,0.158039,0.607754,-0.000859,0.000000,-0.330272,0.567015,-0.241974,-0.930533,0.001315,0.000000
0.975000,0.152966,-1.519252,1.765541,-1.532517,1.570187,0.000000,0.207025,-0.355424,0.151677,0.583288,-0.000824,0.000000,-0.364000,0.624921,-0.266685,-1.025562,0.001449,0.000000
1.000000,0.158025,-1.527936,1.769247,-1.518264,1.570167,0.000000,0.197531,-0.339124,0.144721,0.556539,-0.000786,0.000000,-0.395062,0.678248,-0.289442,-1.113077,0.001573,0.000000
1.025000,0.162836,-1.536197,1.772772,-1.504707,1.570148,0.000000,0.187297,-0.321554,0.137223,0.527704,-0.000746,0.000000,-0.423160,0.726488,-0.310029,-1.192245,0.001685,0.000000
1.050000,0.167384,-1.544004,1.776104,-1.491895,1.570130,0.000000,0.176400,-0.302846,0.129240,0.497003,-0.000702,0.000000,-0.448000,0.769133,-0.328228,-1.262230,0.001784,0.000000
1.075000,0.171652,-1.551331,1.779231,-1.479871,1.570113,0.000000,0.164926,-0.283148,0.120833,0.464676,-0.000657,0.000000,-0.469284,0.805674,-0.343821,-1.322197,0.001869,0.000000
1.100000,0.175626,-1.558155,1.782143,-1.468672,1.570097,0.000000,0.152968,-0.262618,0.112072,0.430984,-0.000609,0.000000,-0.486716,0.835601,-0.356593,-1.371311,0.001938,0.000000
1.125000,0.179297,-1.564457,1.784832,-1.458331,1.570082,0.000000,0.140625,-0.241427,0.103029,0.396208,-0.000560,0.000000,-0.500000,0.858407,-0.366325,-1.408739,0.001991,0.000000
1.150000,0.182655,-1.570222,1.787292,-1.448869,1.570069,0.000000,0.128005,-0.219761,0.093783,0.360651,-0.000510,0.000000,-0.508840,0.873583,-0.372802,-1.433644,0.002026,0.000000
1.175000,0.185696,-1.575442,1.789520,-1.440302,1.570057,0.000000,0.115223,-0.197816,0.084418,0.324637,-0.000459,0.000000,-0.512938,0.880620,-0.375805,-1.445192,0.002042,0.000000
1.200000,0.188416,-1.580112,1.791513,-1.432638,1.570046,0.000000,0.102400,-0.175802,0.075023,0.288510,-0.000408,0.000000,-0.512000,0.879009,-0.375117,-1.442548,0.002039,0.000000
1.225000,0.190817,-1.584234,1.793272,-1.425874,1.570037,0.000000,0.089667,-0.153942,0.065695,0.252635,-0.000357,0.000000,-0.505728,0.868242,-0.370522,-1.424878,0.002014,0.000000
1.250000,0.192901,-1.587813,1.794799,-1.420001,1.570028,0.000000,0.077160,-0.132470,0.056532,0.217398,-0.000307,0.000000,-0.493827,0.847810,-0.361803,-1.391347,0.001966,0.000000
1.275000,0.194678,-1.590862,1.796101,-1.414996,1.570021,0.000000,0.065025,-0.111636,0.047641,0.183206,-0.000259,0.000000,-0.476000,0.817204,-0.348742,-1.341119,0.001895,0.000000
1.300000,0.196157,-1.593402,1.797184,-1.410828,1.570015,0.000000,0.053412,-0.091699,0.039133,0.150488,-0.000213,0.000000,-0.451951,0.775915,-0.331122,-1.273360,0.001800,0.000000
1.325000,0.197354,-1.595457,1.798061,-1.407455,1.570011,0.000000,0.042482,-0.072933,0.031124,0.119691,-0.000169,0.000000,-0.421383,0.723436,-0.308726,-1.187236,0.001678,0.000000
1.350000,0.198288,-1.597061,1.798746,-1.404824,1.570007,0.000000,0.032400,-0.055625,0.023738,0.091286,-0.000129,0.000000,-0.384000,0.659257,-0.281338,-1.081911,0.001529,0.000000
1.375000,0.198982,-1.598253,1.799254,-1.402867,1.570004,0.000000,0.023341,-0.040072,0.017101,0.065763,-0.000093,0.000000,-0.339506,0.582869,-0.248740,-0.956551,0.001352,0.000000
1.400000,0.199465,-1.599082,1.799608,-1.401507,1.570002,0.000000,0.015486,-0.026587,0.011346,0.043633,-0.000062,0.000000,-0.287605,0.493764,-0.210714,-0.810320,0.001145,0.000000
1.425000,0.199768,-1.599602,1.799830,-1.400653,1.570001,0.000000,0.009025,-0.015494,0.006612,0.025428,-0.000036,0.000000,-0.228000,0.391434,-0.167044,-0.642385,0.000908,0.000000
1.450000,0.199930,-1.599879,1.799948,-1.400198,1.570000,0.000000,0.004153,-0.007130,0.003043,0.011701,-0.000017,0.000000,-0.160395,0.275369,-0.117514,-0.451909,0.000639,0.000000
1.475000,0.199991,-1.599984,1.799993,-1.400025,1.570000,0.000000,0.001074,-0.001845,0.000787,0.003027,-0.000004,0.000000,-0.084494,0.145060,-0.061904,-0.238059,0.000336,0.000000
1.475000,0.200000,-1.600000,1.800000,-1.400000,1.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.500000,0.199973,-1.599982,1.799991,-1.399986,1.569988,-0.000032,-0.003223,0.002149,-0.001074,0.001612,-0.001450,-0.003760,-0.253481,0.168988,-0.084494,0.126741,-0.114067,-0.295728
1.525000,0.199789,-1.599859,1.799930,-1.399894,1.569905,-0.000246,-0.012459,0.008306,-0.004153,0.006230,-0.005607,-0.014536,-0.481185,0.320790,-0.160395,0.240593,-0.216533,-0.561383
1.550000,0.199305,-1.599537,1.799768,-1.399653,1.569687,-0.000811,-0.027075,0.018050,-0.009025,0.013537,-0.012184,-0.031587,-0.684000,0.456000,-0.228000,0.342000,-0.307800,-0.798000
1.575000,0.198395,-1.598930,1.799465,-1.399198,1.569278,-0.001872,-0.046459,0.030973,-0.015486,0.023230,-0.020907,-0.054202,-0.862815,0.575210,-0.287605,0.431407,-0.388267,-1.006617
1.600000,0.196947,-1.597965,1.798982,-1.398474,1.568626,-0.003561,-0.070023,0.046682,-0.023341,0.035012,-0.031510,-0.081694,-1.018519,0.679012,-0.339506,0.509259,-0.458333,-1.188272
1.625000,0.194864,-1.596576,1.798288,-1.397432,1.567689,-0.005992,-0.097200,0.064800,-0.032400,0.048600,-0.043740,-0.113400,-1.152000,0.768000,-0.384000,0.576000,-0.518400,-1.344000
1.650000,0.192062,-1.594708,1.797354,-1.396031,1.566428,-0.009261,-0.127445,0.084964,-0.042482,0.063723,-0.057350,-0.148686,-1.264148,0.842765,-0.421383,0.632074,-0.568867,-1.474840
1.675000,0.188471,-1.592314,1.796157,-1.394235,1.564812,-0.013451,-0.160237,0.106825,-0.053412,0.080119,-0.072107,-0.186943,-1.355852,0.903901,-0.451951,0.677926,-0.610133,-1.581827
1.700000,0.184033,-1.589355,1.794678,-1.392016,1.562815,-0.018628,-0.195075,0.130050,-0.065025,0.097537,-0.087784,-0.227587,-1.428000,0.952000,-0.476000,0.714000,-0.642600,-1.666000
1.725000,0.178704,-1.585802,1.792901,-1.389352,1.560417,-0.024846,-0.231481,0.154321,-0.077160,0.115741,-0.104167,-0.270062,-1.481481,0.987654,-0.493827,0.740741,-0.666667,-1.728395
1.750000,0.172450,-1.581633,1.790817,-1.386225,1.557602,-0.032142,-0.269001,0.179334,-0.089667,0.134500,-0.121050,-0.313834,-1.517185,1.011457,-0.505728,0.758593,-0.682733,-1.770049
1.775000,0.165248,-1.576832,1.788416,-1.382624,1.554362,-0.040544,-0.307200,0.204800,-0.102400,0.153600,-0.138240,-0.358400,-1.536000,1.024000,-0.512000,0.768000,-0.691200,-1.792000
1.800000,0.157087,-1.571392,1.785696,-1.378544,1.550689,-0.050065,-0.345668,0.230445,-0.115223,0.172834,-0.155550,-0.403279,-1.538815,1.025877,-0.512938,0.769407,-0.692467,-1.795284
