q2_rad,q3_rad,manipulability,det_j
-2.225295,-1.308997,0.11478210,0.11478210
-2.225295,-1.047198,0.10770698,0.10770698
-2.225295,-0.785398,0.08794238,0.08794238
-2.225295,-0.523599,0.05941559,0.05941559
-2.225295,-0.261799,0.02798670,0.02798670
-2.225295,0.000000,0.00000000,-0.00000000
-2.225295,0.261799,0.01927447,-0.01927447
-2.225295,0.523599,0.02690111,-0.02690111
-2.225295,0.785398,0.02291343,-0.02291343
-2.225295,1.047198,0.01016356,-0.01016356
-2.225295,1.308997,0.00656358,0.00656358
-2.225295,1.570796,0.02192560,0.02192560
-2.225295,1.832596,0.03151281,0.03151281
-2.225295,2.094395,0.03304979,0.03304979
-2.225295,2.356194,0.02698504,0.02698504
-2.225295,2.617994,0.01631223,0.01631223
-2.225295,2.879793,0.00567476,0.00567476
-2.225295,3.141593,0.00000000,0.00000000
-2.072578,-3.141593,0.00000000,-0.00000000
-2.072578,-2.879793,0.00377202,0.00377202
-2.072578,-2.617994,0.01792226,0.01792226
-2.072578,-2.356194,0.04030029,0.04030029
-2.072578,-2.094395,0.06631919,0.06631919
-2.072578,-1.832596,0.09008858,0.09008858
-2.072578,-1.570796,0.10591925,0.10591925
-2.072578,-1.308997,0.10980123,0.10980123
-2.072578,-1.047198,0.10046250,0.10046250
-2.072578,-0.785398,0.07972559,0.07972559
-2.072578,-0.523599,0.05206557,0.05206557
-2.072578,-0.261799,0.02348467,0.02348467
-2.072578,0.000000,0.00000000,-0.00000000
-2.072578,0.261799,0.01385688,-0.01385688
-2.072578,0.523599,0.01613415,-0.01613415
-2.072578,0.785398,0.00786275,-0.00786275
-2.072578,1.047198,0.00733176,0.00733176
-2.072578,1.308997,0.02429665,0.02429665
-2.072578,1.570796,0.03780643,0.03780643
-2.072578,1.832596,0.04400930,0.04400930
-2.072578,2.094395,0.04147507,0.04147507
-2.072578,2.356194,0.03156255,0.03156255
-2.072578,2.617994,0.01800916,0.01800916
-2.072578,2.879793,0.00585578,0.00585578
-2.072578,3.141593,0.00000000,0.00000000
-1.919862,-3.141593,0.00000000,-0.00000000
-1.919862,-2.879793,0.00441877,0.00441877
-1.919862,-2.617994,0.01922510,0.01922510
-1.919862,-2.356194,0.04161859,0.04161859
-1.919862,-2.094395,0.06660102,0.06660102
-1.919862,-1.832596,0.08824731,0.08824731
-1.919862,-1.570796,0.10124071,0.10124071
-1.919862,-1.308997,0.10226452,0.10226452
-1.919862,-1.047198,0.09087955,0.09087955
-1.919862,-0.785398,0.06965302,0.06965302
-1.919862,-0.523599,0.04350363,0.04350363
-1.919862,-0.261799,0.01843599,0.01843599
-1.919862,0.000000,0.00000000,-0.00000000
-1.919862,0.261799,0.00811673,-0.00811673
-1.919862,0.523599,0.00499164,-0.00499164
-1.919862,0.785398,0.00737095,0.00737095
-1.919862,1.047198,0.02465641,0.02465641
-1.919862,1.308997,0.04146417,0.04146417
-1.919862,1.570796,0.05280724,0.05280724
-1.919862,1.832596,0.05548138,0.05548138
-1.919862,2.094395,0.04893494,0.04893494
-1.919862,2.356194,0.03540538,0.03540538
-1.919862,2.617994,0.01928689,0.01928689
-1.919862,2.879793,0.00590048,0.00590048
-1.919862,3.141593,0.00000000,0.00000000
-1.767146,-3.141593,0.00000000,-0.00000000
-1.767146,-2.879793,0.00496267,0.00496267
-1.767146,-2.617994,0.02008043,0.02008043
-1.767146,-2.356194,0.04196814,0.04196814
-1.767146,-2.094395,0.06533259,0.06533259
-1.767146,-1.832596,0.08435190,0.08435190
-1.767146,-1.570796,0.09420559,0.09420559
-1.767146,-1.308997,0.09234741,0.09234741
-1.767146,-1.047198,0.07918121,0.07918121
-1.767146,-0.785398,0.05795914,0.05795914
-1.767146,-0.523599,0.03392905,0.03392905
-1.767146,-0.261799,0.01295817,0.01295817
-1.767146,0.000000,0.00000000,-0.00000000
-1.767146,0.261799,0.00218766,-0.00218766
-1.767146,0.523599,0.00626706,0.00626706
-1.767146,0.785398,0.02243308,0.02243308
-1.767146,1.047198,0.04140713,0.04140713
-1.767146,1.308997,0.05766652,0.05766652
-1.767146,1.570796,0.06657885,0.06657885
-1.767146,1.832596,0.06566203,0.06566203
-1.767146,2.094395,0.05525575,0.05525575
-1.767146,2.356194,0.03842409,0.03842409
-1.767146,2.617994,0.02011568,0.02011568
-1.767146,2.879793,0.00580785,0.00580785
-1.767146,3.141593,0.00000000,0.00000000
-1.614430,-3.141593,0.00000000,-0.00000000
-1.614430,-2.879793,0.00539105,0.00539105
-1.614430,-2.617994,0.02046836,0.02046836
-1.614430,-2.356194,0.04134079,0.04134079
-1.614430,-2.094395,0.06254341,0.06254341
-1.614430,-1.832596,0.07849304,0.07849304
-1.614430,-1.570796,0.08497766,0.08497766
-1.614430,-1.308997,0.08028072,0.08028072
-1.614430,-1.047198,0.06563976,0.06563976
-1.614430,-0.785398,0.04491615,0.04491615
-1.614430,-0.523599,0.02356471,0.02356471
-1.614430,-0.261799,0.00717873,0.00717873
-1.614430,0.000000,0.00000000,-0.00000000
-1.614430,0.261799,0.00379234,0.00379234
-1.614430,0.523599,0.01737989,0.01737989
-1.614430,0.785398,0.03697303,0.03697303
-1.614430,1.047198,0.05719402,0.05719402
-1.614430,1.308997,0.07252658,0.07252658
-1.614430,1.570796,0.07880071,0.07880071
-1.614430,1.832596,0.07431426,0.07431426
-1.614430,2.094395,0.06029037,0.06029037
-1.614430,2.356194,0.04054839,0.04054839
-1.614430,2.617994,0.02047624,0.02047624
-1.614430,2.879793,0.00558002,0.00558002
-1.614430,3.141593,0.00000000,0.00000000
-1.461713,-3.141593,0.00000000,0.00000000
-1.461713,-2.879793,0.00569394,0.00569394
-1.461713,-2.617994,0.02037984,0.02037984
-1.461713,-2.356194,0.03975116,0.03975116
-1.461713,-2.094395,0.05829841,0.05829841
-1.461713,-1.832596,0.07080710,0.07080710
-1.461713,-1.570796,0.07377170,0.07377170
-1.461713,-1.308997,0.06634535,0.06634535
-1.461713,-1.047198,0.05057042,0.05057042
-1.461713,-0.785398,0.03082765,0.03082765
-1.461713,-0.523599,0.01265185,0.01265185
-1.461713,-0.261799,0.00123219,0.00123219
-1.461713,0.000000,0.00000000,-0.00000000
-1.461713,0.261799,0.00968406,0.00968406
-1.461713,0.523599,0.02808816,0.02808816
-1.461713,0.785398,0.05065237,0.05065237
-1.461713,1.047198,0.07164961,0.07164961
-1.461713,1.308997,0.08569843,0.08569843
-1.461713,1.570796,0.08918833,0.08918833
-1.461713,1.832596,0.08123667,0.08123667
-1.461713,2.094395,0.06392162,0.06392162
-1.461713,2.356194,0.04172886,0.04172886
-1.461713,2.617994,0.02036017,0.02036017
-1.461713,2.879793,0.00522231,0.00522231
-1.461713,3.141593,0.00000000,-0.00000000
-1.308997,-3.141593,0.00000000,0.00000000
-1.308997,-2.879793,0.00586430,0.00586430
-1.308997,-2.617994,0.01981694,0.01981694
-1.308997,-2.356194,0.03723624,0.03723624
